Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,77.82,122.61,2.91,7.94,6.44,9.69,8.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.93,2.32,12.00,0.00,0.00,153.69,730.26,NA
2025-01-02 00:00:00,64.93,105.23,3.02,8.41,6.92,9.01,9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.16,2.15,12.00,0.00,0.00,178.52,731.34,NA
2025-01-03 00:00:00,72.30,125.40,3.11,8.90,7.06,9.01,12.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.32,2.06,12.00,0.00,0.00,133.80,728.18,NA
2025-01-04 00:00:00,81.01,141.86,2.90,9.99,7.58,9.79,22.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.56,1.72,NA,0.00,0.00,154.98,728.74,NA
2025-01-05 00:00:00,83.48,142.15,3.29,9.30,7.49,9.94,21.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.53,1.67,NA,0.00,0.00,152.94,730.23,NA
2025-01-06 00:00:00,85.88,146.14,3.05,10.44,7.95,10.00,18.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.71,1.67,NA,0.00,0.00,132.67,727.90,NA
2025-01-07 00:00:00,74.27,132.40,3.21,10.94,8.30,9.77,15.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.17,2.02,12.00,0.00,0.00,154.09,728.89,NA
2025-01-08 00:00:00,71.30,131.67,3.23,11.77,8.81,9.74,20.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.49,1.86,12.00,0.00,0.00,146.47,728.91,NA
2025-01-09 00:00:00,72.10,128.65,2.93,9.27,7.26,10.26,7.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.87,1.96,NA,0.00,0.00,132.46,727.86,NA
2025-01-10 00:00:00,76.33,131.03,2.99,8.54,6.94,10.39,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.64,2.31,12.00,0.00,0.00,118.66,727.53,NA
2025-01-11 00:00:00,33.83,77.78,3.04,8.22,6.71,9.01,10.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.57,2.26,12.00,0.00,0.00,107.97,727.91,NA
2025-01-12 00:00:00,42.23,86.80,3.12,8.20,6.80,9.71,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.85,1.97,12.00,0.00,0.00,84.42,718.03,NA
2025-01-13 00:00:00,51.65,74.46,3.43,8.04,7.03,9.23,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.00,1.84,12.00,0.00,0.00,108.07,724.07,NA
2025-01-14 00:00:00,18.25,45.65,3.26,6.39,6.01,8.39,9.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.82,2.21,NA,0.00,0.00,165.66,730.36,NA
2025-01-15 00:00:00,16.74,43.72,2.95,5.72,5.26,7.90,7.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.61,2.39,12.00,0.00,0.00,159.52,729.66,NA
2025-01-16 00:00:00,61.10,97.44,2.56,6.49,5.49,8.82,5.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.72,2.13,NA,0.00,0.00,144.16,730.19,NA
2025-01-17 00:00:00,81.96,127.46,3.06,7.13,6.01,9.57,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.97,2.33,12.00,0.00,0.00,139.62,728.59,NA
2025-01-18 00:00:00,58.77,97.02,2.85,7.29,6.00,9.42,8.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.67,2.44,12.00,0.00,0.00,93.70,720.44,NA
2025-01-19 00:00:00,35.71,61.00,2.85,7.59,6.22,8.12,7.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.95,2.02,12.00,0.00,0.00,124.62,727.24,NA
2025-01-20 00:00:00,61.42,107.12,3.03,7.46,6.35,8.52,7.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.42,2.25,12.00,0.00,0.00,150.84,729.14,NA
2025-01-21 00:00:00,68.50,120.01,3.10,8.60,7.01,8.54,12.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.08,1.94,12.00,0.00,0.00,146.66,729.79,NA
2025-01-22 00:00:00,69.08,125.70,2.63,13.24,9.15,10.54,16.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.76,1.77,12.00,0.00,0.00,119.67,730.58,NA
2025-01-23 00:00:00,46.26,93.54,3.30,10.94,8.35,6.39,11.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.46,1.89,12.00,0.00,0.00,185.22,731.75,NA
2025-01-24 00:00:00,33.67,79.01,3.65,7.43,6.85,5.93,6.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.06,1.89,12.00,0.00,0.00,172.27,731.02,NA
2025-01-25 00:00:00,38.88,89.73,3.36,10.24,8.12,7.08,13.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.37,2.00,12.00,0.00,0.00,170.56,730.37,NA
2025-01-26 00:00:00,36.74,78.62,3.53,8.39,7.26,7.33,13.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.78,1.75,12.00,0.00,0.00,176.70,729.74,NA
2025-01-27 00:00:00,47.53,88.60,3.46,8.71,7.33,10.09,13.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.43,1.68,12.00,0.00,0.00,178.04,731.36,NA
2025-01-28 00:00:00,71.68,124.26,3.15,9.76,7.68,12.04,7.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.69,1.61,12.00,0.00,0.00,147.16,730.25,NA
2025-01-29 00:00:00,74.56,137.05,3.35,10.20,8.15,9.37,12.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.00,1.92,12.00,0.00,0.00,153.20,729.29,NA
2025-01-30 00:00:00,52.82,105.81,3.19,9.93,7.81,8.12,22.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.36,2.12,12.00,0.00,0.00,167.78,729.99,NA
2025-01-31 00:00:00,29.35,64.82,3.41,8.30,7.08,6.44,6.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.32,2.10,12.00,0.00,0.00,180.34,732.78,NA
2025-02-01 00:00:00,36.51,66.29,4.42,8.06,7.76,6.55,5.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.35,1.99,NA,0.00,0.00,164.28,732.65,NA
2025-02-02 00:00:00,19.59,55.21,5.29,7.70,8.24,6.16,8.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.77,1.70,12.00,0.00,0.00,177.31,731.22,NA
2025-02-03 00:00:00,18.21,56.99,4.80,8.67,8.30,5.89,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.73,1.60,12.00,0.00,0.00,193.50,731.97,NA
2025-02-04 00:00:00,31.85,88.65,12.80,10.73,15.99,6.81,7.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.62,1.43,NA,0.00,0.00,181.29,731.93,NA
2025-02-05 00:00:00,47.30,102.43,7.73,10.22,11.64,6.72,6.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.00,1.40,NA,0.00,0.00,185.36,733.52,NA
2025-02-06 00:00:00,56.66,96.15,3.61,9.14,7.72,7.07,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.56,1.64,NA,0.00,0.00,189.76,732.38,NA
2025-02-07 00:00:00,75.01,126.73,5.00,9.91,9.29,7.38,7.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.47,1.40,NA,0.00,0.00,176.83,731.18,NA
2025-02-08 00:00:00,63.79,113.38,4.79,9.55,8.94,7.34,7.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.57,1.52,12.00,0.00,0.00,169.98,731.36,NA
2025-02-09 00:00:00,59.93,105.26,4.13,8.06,7.53,7.08,5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.32,1.64,NA,0.00,0.00,167.35,732.14,NA
2025-02-10 00:00:00,64.97,118.83,3.08,8.77,7.04,7.51,8.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.23,1.81,NA,0.00,0.00,164.31,732.06,NA
2025-02-11 00:00:00,55.08,110.60,5.93,10.80,10.46,6.63,7.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.40,1.61,12.00,0.00,0.00,197.46,732.12,NA
2025-02-12 00:00:00,41.89,95.23,6.06,10.04,10.09,6.65,11.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.58,1.54,12.00,0.00,0.00,189.93,732.41,NA
2025-02-13 00:00:00,32.06,76.38,7.97,9.26,11.24,6.85,6.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.47,1.49,NA,0.00,0.00,178.68,730.42,NA
2025-02-14 00:00:00,18.90,60.10,5.31,9.41,9.15,6.21,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.16,1.58,NA,0.00,0.00,193.65,732.07,NA
2025-02-15 00:00:00,24.76,68.78,7.95,9.03,11.18,5.95,4.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.32,1.75,NA,0.00,0.00,191.08,732.38,NA
2025-02-16 00:00:00,38.93,75.47,6.25,9.05,9.64,6.03,5.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.75,2.02,NA,0.00,0.00,193.67,733.10,NA
2025-02-17 00:00:00,51.18,91.62,5.51,7.63,8.37,7.16,4.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.33,1.70,NA,0.00,0.00,186.35,732.53,NA
2025-02-18 00:00:00,57.02,102.06,5.55,8.85,9.10,7.73,4.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.30,1.60,NA,0.00,0.00,189.22,733.23,NA
2025-02-19 00:00:00,47.71,94.34,7.28,8.62,10.44,7.30,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.04,1.67,NA,0.00,0.00,180.70,731.21,NA
2025-02-20 00:00:00,33.54,75.85,6.71,8.59,9.71,6.55,4.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.71,1.72,NA,0.00,0.00,191.91,732.84,NA
2025-02-21 00:00:00,28.12,67.98,4.77,8.36,8.28,5.84,6.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.71,1.79,NA,0.00,0.00,178.58,732.64,NA
2025-02-22 00:00:00,33.22,75.69,4.83,7.22,7.68,5.54,6.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.35,1.80,NA,0.00,0.00,179.31,732.43,NA
2025-02-23 00:00:00,30.19,67.66,6.38,7.55,9.02,5.17,6.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.31,1.70,NA,0.00,0.00,180.04,732.67,NA
2025-02-24 00:00:00,35.19,65.29,4.76,6.66,7.32,5.94,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.48,2.03,NA,0.00,0.00,180.37,734.03,NA
2025-02-25 00:00:00,59.09,98.39,3.22,7.69,6.48,7.34,14.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.87,2.16,12.00,0.00,0.00,187.22,733.98,NA
2025-02-26 00:00:00,61.64,102.80,3.07,7.76,6.54,7.76,18.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.00,2.39,12.00,0.00,0.00,188.07,735.78,NA
2025-02-27 00:00:00,50.58,84.34,2.64,6.90,5.70,7.15,9.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.20,2.26,12.00,0.00,0.00,189.20,735.06,NA
2025-02-28 00:00:00,42.86,89.40,2.85,7.29,6.01,7.11,11.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.36,2.37,12.00,0.00,0.00,162.93,737.29,NA
2025-03-01 00:00:00,24.85,62.12,2.72,7.07,5.92,7.64,4.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.10,2.48,NA,0.00,0.00,155.26,736.58,NA
2025-03-02 00:00:00,15.38,38.43,2.70,5.30,4.92,7.33,4.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.90,2.22,NA,0.00,0.00,193.02,738.04,NA
2025-03-03 00:00:00,19.04,47.64,4.41,7.41,7.32,7.38,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.61,1.65,NA,0.00,0.00,180.10,738.60,NA
2025-03-04 00:00:00,19.34,48.39,3.56,7.31,6.67,7.83,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.38,1.67,12.00,0.00,0.00,181.06,736.88,NA
2025-03-05 00:00:00,20.44,51.27,4.23,8.88,8.08,9.25,4.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.82,1.64,NA,0.00,0.00,170.16,736.49,NA
2025-03-06 00:00:00,50.13,125.32,4.11,9.33,8.25,10.81,17.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.54,1.75,12.00,0.00,0.00,181.95,739.70,NA
2025-03-07 00:00:00,61.41,153.38,3.30,10.00,7.86,13.12,18.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.38,1.81,NA,0.00,0.00,172.26,735.02,NA
2025-03-08 00:00:00,40.81,102.05,3.37,7.95,6.82,12.64,5.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.03,1.76,12.00,0.00,0.00,179.78,734.66,NA
2025-03-09 00:00:00,26.23,65.66,3.98,6.70,6.66,12.39,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.84,1.98,12.00,0.00,0.00,186.98,736.87,NA
2025-03-10 00:00:00,27.03,67.38,2.73,6.74,5.69,12.26,8.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.37,2.32,NA,0.00,0.00,177.98,737.77,NA
2025-03-11 00:00:00,20.14,50.18,3.63,6.54,6.39,11.58,7.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.05,2.05,NA,0.00,0.00,111.61,727.91,NA
2025-03-12 00:00:00,18.95,47.63,6.41,6.69,8.72,10.77,7.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.32,2.04,NA,0.00,0.00,172.91,740.11,NA
2025-03-13 00:00:00,25.25,63.18,6.07,7.78,9.08,9.85,6.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.23,1.58,12.00,0.00,0.00,244.48,739.57,NA
2025-03-14 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-15 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-16 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-17 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-18 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-20 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-21 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-22 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-23 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-24 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-25 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-26 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-27 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-28 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-29 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-31 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-02 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-03 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-04 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-05 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-06 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-07 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-08 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-09 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-10 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-11 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-12 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-13 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-14 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-15 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-16 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-17 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-18 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-20 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-21 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-22 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-23 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-04-24 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
